--Tentative database name: crowdcon
--QUERIES
--Retrieve list of users.
SELECT username FROM Registered_User;
        username         
-------------------------
 vada berkich
SELECT ingredient_name FROM Ingredient;
  ingredient_name   
--------------------
 acorn squash
 alfalfa sprouts
 almond
 anchovy
 anise
 appetizer
 appetite
 apple
 apricot
 artichoke
 asparagus
 aspic
 ate
 avocado
 bacon
 bagel
 bake
 baked Alaska
 bamboo shoots
 banana
 barbecue
 barley
 basil
 batter
 beancurd
 beans
 beef
 beet
 bell pepper
 berry
 biscuit
 bitter
 black beans
 blackberry
 black-eyed peas
 black tea
 bland
 blood orange
 blueberry
 boil
 bowl
 boysenberry
 bran
 bread
 breadfruit
 breakfast
 brisket
 broccoli
 broil
 brownie
 brown rice
 brunch
 Brussels sprouts
 buckwheat
 buns
 burrito
 butter
 butter bean
 cake
 calorie
 candy
 candy apple
 cantaloupe
 capers
 caramel
 caramel apple
 carbohydrate
 carrot
 cashew
 cassava
 casserole
 cater
 cauliflower
 caviar
 cayenne pepper
 celery
 cereal
 chard
 cheddar
 cheese
 cheesecake
 chef
 cherry
 chew
 chicken
 chick peas
 chili
 chips
 chives
 chocolate
 chopsticks
 chow
 chutney
 cilantro
 cinnamon
 citron
 citrus
 clam
 cloves
 cobbler
 coconut
 cod
 coffee
 coleslaw
 collard greens
 comestibles
 cook
 cookbook
 cookie
 corn
 cornflakes
 cornmeal
 cottage cheese
 crab
 crackers
 cranberry
 cream
 cream cheese
 crepe
 crisp
 crunch
 crust
 cucumber
 cuisine
 cupboard
 cupcake
 curds
 currants
 curry
 custard
 daikon
 daily bread
 dairy
 dandelion greens
 Danish pastry
 dates
 dessert
 diet
 digest
 digestive system
 dill
 dine
 diner
 dinner
 dip
 dish
 dough
 doughnut
 dragonfruit
 dressing
 dried
 drink
 dry
 durian
 eat
 Edam cheese
 edible
 egg
 eggplant
 elderberry
 endive
 entree
 fast
 fat
 fava bans
 feast
 fed
 feed
 fennel
 fig
 fillet
 fire
 fish
 flan
 flax
 flour
 food
 food pyramid
 foodstuffs
 fork
 freezer
 French fries
 fried
 fritter
 frosting
 fruit
 fry
 garlic
 gastronomy
 gelatin
 ginger
 gingerale
 gingerbread
 glasses
 Gouda cheese
 grain
 granola
 grape
 grapefruit
 grated
 gravy
 greenbean
 greens
 green tea
 grub
 guacamole
 guava
 gyro
 herbs
 halibut
 ham
 hamburger
 hash
 hazelnut
 honey
 honeydew
 horseradish
 hot
 hot dog
 hot sauce
 hummus
 hunger
 hungry
 ice
 iceberg lettuce
 iced tea
 icing
 ice cream
 ice cream cone
 jackfruit
 jalapeno
 jam
 jelly
 jellybeans
 jicama
 jimmies
 Jordan almonds
 jug
 julienne
 juice
 junk food
 kale
 kebab
 ketchup
 kettle
 kettle corn
 kidney beans
 kitchen
 kiwi
 knife
 kohlrabi
 kumquat
 ladle
 lamb
 lard
 lasagna
 legumes
 lemon
 lemonade
 lentils
 lettuce
 licorice
 lima beans
 lime
 liver
 loaf
 lobster
 lollipop
 loquat
 lox
 lunch
 lunch box
 lunchmeat
 lychee
 macaroni
 macaroon
 main course
 maize
 mandarin orange
 mango
 maple syrup
 margarine
 marionberry
 marmalade
 marshmallow
 mashed potatoes
 mayonnaise
 meat
 meatball
 meatloaf
 melon
 menu
 meringue
 micronutrient
 milk
 milkshake
 millet
 mincemeat
 minerals
 mint
 mints
 mochi
 molasses
 mole sauce
 mozzarella
 muffin
 mug
 munch
 mushroom
 mussels
 mustard
 mustard greens
 mutton
 napkin
 nectar
 nectarine
 nibble
 noodles
 nosh
 nourish
 nourishment
 nut
 nutmeg
 nutrient
 nutrition
 nutritious
 oats
 oatmeal
 oil
 okra
 oleo
 olive
 omelet
 omnivore
 onion
 orange
 order
 oregano
 oven
 oyster
 pan
 pancake
 papaya
 parsley
 parsnip
 pasta
 pastry
 pate
 patty
 pattypan squash
 peach
 peanut
 peanut butter
 pea
 pear
 pecan
 peapod
 pepper
 pepperoni
 persimmon
 pickle
 picnic
 pie
 pilaf
 pineapple
 pita bread
 pitcher
 pizza
 plate
 platter
 plum
 poached
 pomegranate
 pomelo
 pop
 popsicle
 popcorn
 popovers
 pork
 pork chops
 pot
 potato
 pot roast
 preserves
 pretzel
 prime rib
 protein
 provisions
 prune
 pudding
 pumpernickel
 pumpkin
 punch
 quiche
 quinoa
 radish
 raisin
 raspberry
 rations
 ravioli
 recipe
 refreshments
 refrigerator
 relish
 restaurant
 rhubarb
 ribs
 rice
 roast
 roll
 rolling pin
 romaine
 rosemary
 rye
 saffron
 sage
 salad
 salami
 salmon
 salsa
 salt
 sandwich
 sauce
 sauerkraut
 sausage
 savory
 scallops
 scrambled
 seaweed
 seeds
 sesame seed
 shallots
 sherbet
 shish kebab
 shrimp
 slaw
 slice
 smoked
 snack
 soda
 soda bread
 sole
 sorbet
 sorghum
 sorrel
 soup
 sour
 sour cream
 soy
 soybeans
 soysauce
 spaghetti
 spareribs
 spatula
 spices
 spicy
 spinach
 split peas
 spoon
 spork
 sprinkles
 sprouts
 spuds
 squash
 squid
 steak
 stew
 stir-fry
 stomach
 stove
 straw
 strawberry
 string bean
 stringy
 strudel
 sub sandwich
 submarine sandwich
 succotash
 suet
 sugar
 summer squash
 sundae
 sunflower
 supper
 sushi
 sustenance
 sweet
 sweet potato
 Swiss chard
 syrup
 taco
 take-out
 tamale
 tangerine
 tapioca
 taro
 tarragon
 tart
 tea
 teapot
 teriyaki
 thyme
 toast
 toaster
 toffee
 tofu
 tomatillo
 tomato
 torte
 tortilla
 tuber
 tuna
 turkey
 turmeric
 turnip
 ugli fruit
 unleavened
 utensils
 vanilla
 veal
 vegetable
 venison
 vinegar
 vitamin
 wafer
 waffle
 walnut
 wasabi
 water
 water chestnut
 watercress
 watermelon
 wheat
 whey
 whipped cream
 wok
 yam
 yeast
 yogurt
 yolk
 zucchini
(541 rows)

--Retrieve ingredients that have not been signed up for (at all) in a specific event (e.g. eid = 983).
(SELECT ingredient_name FROM Event_Ingredient WHERE eid = 983) EXCEPT ALL (SELECT ingredient_name FROM Who_Buys WHERE eid = 983);
 ingredient_name 
-----------------
 diet
(1 row)

--Retrieve ingredients that do not have enough people signed up for them in a specific event (e.g. eid = 983).
